artistName,tags,hoursPlayed
Wallows,"indie, indie rock, indie pop, alternative, rock",0.45334944444444447
The Strokes,"indie rock, indie, rock, alternative, alternative rock",0.45332194444444446
The Cinematic Orchestra,"jazz, electronic, downtempo, chillout, ninja tune",0.45329194444444443
Sophie B. Hawkins,"female vocalists, pop, singer-songwriter, 90s, alternative",0.4532508333333333
Pitbull,"hip-hop, rap, reggaeton, hip hop, crunk",0.4478697222222222
DNCE,"pop, pop rock, dance, funk, american",0.44614055555555554
The Something Specials,"folk, soft rock, country, rock, indie",0.44558416666666667
Winter Aid,"singer-songwriter, folk, indie, irish, love  winter aid",0.44518861111111113
Elvis Presley,"rock n roll, classic rock, rock, oldies, rock and roll",0.4397697222222222
Taylor Swift,"country, pop, female vocalists, singer-songwriter, acoustic",0.42976472222222223
Anna of the North,"pop, synthpop, indie pop, norwegian, norway",0.4288102777777778
Twenty One Pilots,"electronic, alternative, rap, indie pop, indie",0.4230575
Fifth Harmony,"pop, female vocalists, x factor, american, rnb",0.4226511111111111
Lily Allen,"pop, female vocalists, british, britpop, singer-songwriter",0.4186875
Don McLean,"folk, classic rock, singer-songwriter, 70s, rock",0.41695305555555556
Antônio Carlos Jobim,"bossa nova, jazz, brazilian, mpb, latin",0.4159538888888889
Dean Martin,"jazz, swing, oldies, easy listening, lounge",0.41488861111111114
Supertramp,"progressive rock, classic rock, rock, 70s, pop",0.41409277777777775
The Chainsmokers,"electronic, pop, house, electro house, dance",0.4137188888888889
Celelalte Cuvinte,"romanian, progressive rock, hard rock, rock, classic rock",0.40593805555555557
Cristi Minculescu,,0.4055238888888889
P!nk,"pop, pop rock, female vocalists, rock, female",0.4009161111111111
Judas Priest,"heavy metal, metal, hard rock, nwobhm, classic rock",0.3970591666666667
no/vox,,0.3969183333333333
Gotts Street Park,"jazz, soul, indie pop, funk, british",0.39519944444444444
Shakira,"pop, latin, female vocalists, spanish, rock",0.39176194444444445
Madonna,"pop, dance, female vocalists, 80s, electronic",0.3901455555555556
The Sundays,"dream pop, indie, female vocalists, alternative, 90s",0.3832625
Young the Giant,"indie rock, indie, rock, american, alternative rock",0.3817747222222222
Dr. Dre,"hip-hop, rap, gangsta rap, west coast, hip hop",0.3801733333333333
SIENNA SPIRO,"jazz, soul, singer-songwriter, british, united kingdom",0.37759333333333334
Hazlett,"indie, rock, alternative, australia, song-writer",0.37559944444444443
Birdy,"folk, indie, female vocalists, british, singer-songwriter",0.37391111111111114
Frankie Valli,"60s, classic rock, oldies, jazz, swing",0.37164305555555555
Samia,"indie pop, singer-songwriter, lo-fi, indie, indie rock",0.37068111111111113
Buster Benton,"blues, need to rate, united states, american, classic blues",0.36925444444444444
Cults,"indie pop, lo-fi, experimental, noise, indie",0.36679333333333336
Rex Orange County,"indie pop, rnb, pop, jazz, indie",0.3656933333333333
Disclosure,"electronic, uk garage, house, future garage, dubstep",0.36374305555555553
Olivia Newton-John,"pop, female vocalists, 70s, 80s, country",0.3604222222222222
Travie McCoy,"hip-hop, rap, alternative rap, indie, hip hop",0.3596788888888889
Aretha Franklin,"soul, jazz, female vocalists, blues, rhythm and blues",0.3547108333333333
Modjo,"house, electronic, dance, french, pop",0.3517625
Ichiko Aoba,"folk, singer-songwriter, japanese, chamber folk, contemporary folk",0.34786944444444445
Bertha Tillman,"oldies, pop, spotify, soul, singer-songwriter",0.3476625
Julie London,"jazz, female vocalists, vocal jazz, swing, jazz vocal",0.34712611111111114
two legged sheep,,0.34645944444444443
Iration,"reggae, dub, hardcore, straight edge, vegan straight edge",0.3409727777777778
Matt Berry,"folk, british, progressive rock, comedy, faaaatheeeer",0.33885333333333334
Lenny Kravitz,"rock, funk, alternative, alternative rock, pop",0.33825916666666667
Lost in Blues,,0.3377113888888889
Avenoir,"rnb, alternative rnb, canadian, alternative, canada",0.33674944444444443
The 1975,"indie, indie rock, british, alternative, rock",0.3348422222222222
mehro,"pop, folk, rnb, indie, usa",0.33387527777777776
U2,"rock, classic rock, irish, alternative, pop",0.33248222222222223
A$AP Ferg,"hip-hop, trap, rap, hip hop, swag",0.3305025
Mary J. Blige,"rnb, soul, female vocalists, hip-hop, urban",0.3276777777777778
Carly Simon,"female vocalists, pop, singer-songwriter, 70s, rock",0.32165472222222224
Cyndi Lauper,"pop, 80s, female vocalists, new wave, rock",0.3213188888888889
Sixpence None The Richer,"pop, female vocalists, alternative, rock, christian",0.3205883333333333
KISS,"rock, 80s, 70's, rock, 80s",0.31622805555555555
Estelle,"rnb, soul, female vocalists, hip-hop, british",0.31377055555555555
Leon Thomas,"jazz, soul, funk, spiritual jazz, free jazz",0.31163861111111113
Carole King,"singer-songwriter, female vocalists, folk, pop, classic rock",0.3098680555555556
"Grover Washington, Jr.","jazz, smooth jazz, saxophone, funk, fusion",0.30948
周柯宇,"chinese, pop, rap, c-pop, mandopop",0.3092491666666667
Brenda Lee,"oldies, 60s, country, female vocalists, rockabilly",0.3052741666666667
BØRNS,"folk, ambient, pop, synthpop, everything",0.30386138888888886
尹露浠,,0.3036905555555556
Christina Aguilera,"pop, female vocalists, soul, rnb, dance",0.3021847222222222
Liana Flores,"indie pop, folk pop, singer-songwriter, bossa nova, chamber folk",0.30090916666666667
Take Care,"slowcore, lo-fi, indie, ambient, alternative",0.2990627777777778
Meghan Trainor,"pop, female vocalists, soul, american, jazz",0.2979127777777778
Ricky Nelson,"rockabilly, oldies, 60s, classic rock, rock",0.29786666666666667
Rvssian,"reggaeton, trap, dancehall, latin, jamaican",0.29664
Gucci Mane,"hip-hop, rap, dirty south, southern rap, trap",0.29625555555555555
Black Box Recorder,"indie, female vocalists, british, indie pop, britpop",0.2961127777777778
Petros Gaitanos,"greek, byzantine, orthodox, spiritual, balkan",0.2931813888888889
LMFAO,"electronic, hip-hop, electro, crunk, hip hop",0.29127333333333333
Bella Kay,indie,0.2887411111111111
Rod Stewart,"classic rock, rock, soft rock, 70s, pop",0.2884125
Ducu Bertzi,"folk, romanian, philosophical, romanian folk, ducu bertzi",0.28660277777777776
Diana Ross,"soul, disco, pop, female vocalists, motown",0.28456777777777775
Djo,"psychedelic pop, indie pop, indie, psychedelic, indie rock",0.28390333333333334
Her's,"dream pop, post-punk, jangle pop, indie pop, indie",0.28340777777777776
Muse,"alternative rock, rock, progressive rock, alternative, indie",0.28286194444444446
Carpenters,"pop, 70s, female vocalists, easy listening, oldies",0.28088083333333336
"Peter, Paul and Mary","folk, 60s, singer-songwriter, oldies, classic rock",0.27747166666666667
Akon,"rnb, hip-hop, rap, pop, hip hop",0.2763583333333333
HUNTR/X,"k-pop, pop, korean, ost, kpop",0.27561
J. Cole,"hip-hop, rap, hip hop, north carolina, underground hip-hop",0.27480305555555556
Delaney Bailey,"folk, singer-songwriter, indie folk, usa, singer songwriter",0.27203944444444444
Avicii,"house, electronic, dance, progressive house, electro house",0.27180583333333336
Oscar Lang,"british, indie rock, indie pop, britpop, bedroom pop",0.2711969444444444
The Paper Kites,"folk, indie, australian, indie folk, acoustic",0.2694519444444444
TOTO,"rock, classic rock, 80s, progressive rock, pop",0.26924944444444443
dj gummy bear,electronic,0.26788388888888887
Grant-Lee Phillips,"singer-songwriter, folk, americana, alternative, alt-country",0.2675836111111111
