artistName,tags,hoursPlayed
Laura Les,"hyperpop, electronic, alternative, female vocalists, hypnotic",0.17630138888888888
Club 8,"swedish, indie pop, indie, female vocalists, twee",0.17282333333333333
Drain Gang,"cloud rap, sweden, rap, hip-hop, meme",0.17244694444444444
Yung Sherman,"hip-hop, instrumental, trap, electronic, cloud rap",0.17230666666666666
Title Fight,"melodic hardcore, pop punk, hardcore, punk, punk rock",0.16500722222222222
my bloody valentine,"shoegaze, dream pop, indie, alternative, indie rock",0.16281638888888889
Soulja Boy,"hip-hop, rap, crunk, hip hop, snap music",0.1611575
Lena Raine,"electronic, soundtrack, ambient, chiptune, video game music",0.16073555555555555
Fade Evare,"trip-hop, electronic, australian, indie, alt-pop",0.15968888888888888
Silver Fins,"japanese, folk, j-rock, rock, lo-fi",0.15957472222222222
Lotus Juice,"hip-hop, japanese, electronic, rap, hip hop",0.15881944444444446
Knocked Loose,"hardcore, metalcore, beatdown hardcore, metallic hardcore, beatdown",0.15829944444444444
Elliott Smith,"singer-songwriter, folk, indie, acoustic, indie rock",0.1564911111111111
Johnathan Hulett,,0.15593333333333334
Juniper Fields,,0.155445
King Krule,"indie, experimental, lo-fi, chillout, indie rock",0.15431472222222223
Navy Blue,"rap, hip-hop, jazz rap, abstract hip-hop, abstract hip hop",0.154015
Evelyn Evelyn,"dark cabaret, cabaret, punk cabaret, indie, alternative",0.15342944444444445
Thrilliam Angels,"latvian, ambient, indietronica, electronic, drain",0.1529763888888889
Holy Fuck,"experimental, electronic, post-rock, instrumental, canadian",0.15271222222222222
TABAL,"lo-fi, electronic, chill, france, french",0.15239083333333334
Vulfpeck,"funk, soul, jazz, jazz pop, blues",0.15190416666666667
Frank Zappa,"progressive rock, experimental, jazz, rock, classic rock",0.15001833333333334
Puzzle,"halftime, post-rock, hip-hop, wonky, future bass",0.14950611111111112
ROSALÍA,"pop, flamenco, spanish, flamenco nuevo, art pop",0.1494477777777778
Allie X,"synthpop, electropop, pop, canadian, dance-pop",0.1483472222222222
Dion,"oldies, doo wop, 60s, rock n roll, rock",0.14787166666666668
Lola Marsh,"indie pop, folk, indie, female vocalists, israel",0.1477275
Molchat Doma,"post-punk, coldwave, new wave, synthpop, belarus",0.14411583333333333
Asake,"afrobeats, nigeria, amapiano, afropiano, nigerian",0.1438311111111111
The Cure,"post-punk, new wave, alternative, 80s, rock",0.14183694444444445
Eric B. & Rakim,,0.14177777777777778
Momma,"indie rock, indie, alternative, usa, grunge",0.14122222222222222
16:9 krollo ✥,"underground, electronic, crushed, digicore, surge",0.14024194444444443
Tierra Whack,"hip-hop, rap, rnb, hip hop, american",0.139105
Machine Girl,"breakcore, digital hardcore, footwork, electronic, idm",0.13854111111111111
RXLVND,,0.13836166666666666
SEBii,"cloud rap, hyperpop, rap, hip-hop, digicore",0.13811722222222222
Toxe,"uk bass, electronic, post-industrial, swedish, idm",0.13756027777777777
Ulk,"dungeon synth, impossible for liberals to deal with, ambient, tortoisecore, dark ambient",0.13737305555555557
Injury Reserve,"experimental hip hop, rap, hip-hop, hip hop, jazz rap",0.1362038888888889
Elita,"dream pop, canadian, indie pop, indie, alternative",0.13479972222222222
System Of A Down,"alternative metal, metal, nu metal, rock, alternative",0.13468555555555556
Vertigoaway,"jungle, breakcore, footwork, rave, hardcore breaks",0.13460527777777778
Bob Dylan,"folk, singer-songwriter, classic rock, folk rock, rock",0.13385166666666667
Cyborg9K,"alternative rock, electronic, emo, punk, incelcore",0.13326694444444445
Soviet Soviet,"post-punk, italian, indie, noise, punk",0.13184833333333335
Skar the Red,,0.13085527777777778
Maniac,"speed metal, grime, heavy metal, dubstep, thrash metal",0.12957555555555555
Frank Ocean,"rnb, soul, hip-hop, r&b, ofwgkta",0.1293111111111111
Clipse,"hip-hop, rap, hip hop, virginia, neptunes",0.12895361111111112
Voda Fuji,"rap, american, united states, alternative rap",0.12511444444444444
